"Table 2. Mean physical and chemical soil characteristics of maritime pine, black pine, fir and beech sites. $^a$
C: clay; CL: clay-loam; SL: sandy-loam; L: loam.",,,,,,,,,,,
Species,Site quality,Depth (cm),pH H$_2$O,Texture$^a$,Organic matter (%),N (mg/g),P (Olsen) (mg/100g),Exchangagble cations - Ca (meq/100g),Exchangagble cations - Mg (meq/100g),Exchangagble cations - K (meq/100g),Exchangagble cations - Na (meq/100g)
Maritime pine,Hsq,0-8,5.24,SL,3.95,2.01,2.10,6.35,1.89,0.41,0.09
Maritime pine,Hsq,8-32,5.92 ,SL,1.78,1.11,1.90,7.11,0.08,0.32,0.08
Maritime pine,Hsq,32-40,5.81 ,L,1.47,0.93,1.10,4.15,0.07,0.22,0.07
Maritime pine,Lsq,0-8,5.21,SL,3.00,1.76,1.95,6.00,1.65,0.35,0.09
Maritime pine,Lsq,8-32,6.00,SL,1.50,1.14,1.80,7.01,0.08,0.30,0.08
Maritime pine,Lsq,32-40,5.49,L,1.20,0.83,0.92,3.90,0.06,0.20,0.06
Black pine,Hsq,0-5,5.2,SL,3.01,0.79,1.90,6.93,1.58,0.35,0.09
Black pine,Hsq,5-20,5.0,SL,1.86,0.41,1.60,6.00,1.40,0.31,0.13
Black pine,Hsq,20-40,5.0,SL,1.21,0.40,1.20,5.30,1.40,0.26,0.19
Black pine,Hsq,40-60,5.1,SL,0.86,0.29,.080,4.40,1.00,0.18,0.09
Black pine,Lsq,0-5,5.6,SL,2.09,0.85,1.90,5.00,1.37,0.32,0.07
Black pine,Lsq,5-10,5.5,SL,2.03,0.63,1.80,4.91,1.00,0.21,0.07
Black pine,Lsq,10-20,5.3,SL,1.00,0.20,1.80,2.09,1.48,0.20,0.08
Black pine,Lsq,20-40,5.6,SL,0.93,0.07,1.70,3.53,1.00,0.21,0.07
Fir,Hsq,0-5,5.10,SL,5.95,1.71,0.90,13.6,3.05,0.66,0.10
Fir,Hsq,5-10,5.10,SL,3.42,1.22,0.40,8.93,1.41,0.42,0.10
Fir,Hsq,10-20,5.15,L,3.32,1.34,0.30,8.93,2.82,0.42,0.10
Fir,Hsq,20-40,4.70,L,2.18,1.00,0.60,4.46,3.05,0.28,0.12
Fir,Hsq,40-60,4.52,L,0.50,0.40,0.40,3.57,2.61,0.16,0.11
Fir,Lsq,0-5,5.23,SL,5.56,2.70,1.60,9.40,5.87,1.30,0.16
Fir,Lsq,5-10,5.07,SL,2.78,1.35,0.80,5.17,3.05,0.78,0.14
Fir,Lsq,10-20,5.10,SL,2.18,1.25,0.70,4.23,3.05,0.84,0.14
Fir,Lsq,20-40,4.89,SL,1.17,0.65,0.20,3.99,1.41,0.70,0.14
Fir,Lsq,40-100,4.48,L,0.60,0.45,0.09,2.12,1.23,0.40,0.11
Beech,Hsq,0-5,4.92,CL,12.08,3.57,1.40,5.96,2.45,0.65,0.08
Beech,Hsq,5-12,4.86,CL,6.39,2.18,0.80,2.46,1.13,0.27,0.07
Beech,Hsq,12-26,5.00,CL,3.43,1.10,1.20,2.03,1.05,0.24,0.10
Beech,Hsq,26-45,5.15,CL,1.77,0.70,0.80,1.49,1.03,0.21,0.06
Beech,Hsq,45-78,5.03,CL,0.81,0.30,0.80,1.66,1.97,0.26,0.06
Beech,Lsq,0-4,4.48,CL,13.02,3.25,1.20,3.33,1.83,0.33,0.13
Beech,Lsq,4-13,4.90,CL,4.77,1.25,0.40,1.17,0.72,0.15,0.07
Beech,Lsq,13-26,5.06,L,2.81,1.00,0.40,1.06,0.68,0.13,0.07
Beech,Lsq,26-60,5.17,L,2.45,0.90,1.40,0.89,0.68,0.11,0.09
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
